x,y,yaw,dir
21.2411,-8.6812,-2.1664,1
21.1684,-8.8261,-2.0837,1
21.1129,-8.9749,-1.9902,1
21.0903,-9.1255,-1.8870,1
21.1006,-9.2347,-1.8365,1
21.1381,-9.3524,-1.8426,1
21.0956,-9.4863,-1.8902,1
21.0230,-9.6166,-2.1752,1
20.9349,-9.7107,-2.2444,1
20.8507,-9.7749,-2.2674,1
20.7751,-9.8603,-2.3031,1
20.6722,-9.9641,-2.3046,1
20.5312,-10.1090,-2.3037,1
20.4484,-10.2077,-2.3006,1
20.3347,-10.3217,-2.2947,1
20.2534,-10.4261,-2.2947,1
20.1772,-10.5110,-2.2947,1
20.0686,-10.6326,-2.2947,1
19.9685,-10.7458,-2.2947,1
19.8693,-10.8580,-2.2947,1
19.8029,-10.9331,-2.2947,1
19.7036,-11.0455,-2.2947,1
19.6056,-11.1565,-2.2947,1
19.5380,-11.2328,-2.2947,1
19.4386,-11.3452,-2.2947,1
19.3419,-11.4550,-2.2947,1
19.2731,-11.5325,-2.2947,1
19.1737,-11.6449,-2.2947,1
19.0744,-11.7573,-2.2947,1
18.9750,-11.8696,-2.2947,1
18.8757,-11.9820,-2.2947,1
18.7863,-12.0844,-2.2947,1
18.6814,-12.2024,-2.2947,1
18.5776,-12.3192,-2.2947,1
18.4883,-12.4216,-2.2947,1
18.4121,-12.5065,-2.2947,1
18.3127,-12.6189,-2.2947,1
18.2134,-12.7313,-2.2947,1
18.1140,-12.8436,-2.2947,1
18.0233,-12.9474,-2.2947,1
17.9484,-13.0309,-2.2947,1
17.8547,-13.1377,-2.2947,1
17.7597,-13.2457,-2.2947,1
17.6934,-13.3208,-2.2947,1
17.6173,-13.4056,-2.2947,1
17.5179,-13.5179,-2.2947,1
17.4186,-13.6303,-2.2947,1
17.3292,-13.7327,-2.2947,1
17.2199,-13.8551,-2.2947,1
17.1205,-13.9675,-2.2947,1
17.0212,-14.0799,-2.2947,1
16.9232,-14.1909,-2.2947,1
16.8225,-14.3046,-2.2947,1
16.7232,-14.4170,-2.2947,1
16.6288,-14.5244,-2.2951,1
16.5572,-14.6039,-2.3092,1
16.4744,-14.6831,-2.3774,1
16.3310,-14.7297,-2.5971,1
16.2265,-14.7676,-2.6841,1
16.1217,-14.7879,-2.7455,1
15.9640,-14.8541,-2.7876,1
15.8237,-14.9164,-2.8014,1
15.7291,-14.9490,-2.7978,1
15.5946,-15.0216,-2.7664,1
15.4816,-15.0782,-2.7135,1
15.3611,-15.1600,-2.6345,1
15.2650,-15.2487,-2.5391,1
15.1771,-15.3525,-2.4110,1
15.1005,-15.4677,-2.3400,1
15.0492,-15.5590,-2.3261,1
14.9688,-15.6597,-2.3342,1
14.8906,-15.7412,-2.3403,1
14.8197,-15.8144,-2.3403,1
14.7153,-15.9221,-2.3403,1
14.6014,-16.0403,-2.3438,1
14.5162,-16.1272,-2.3403,1
14.4067,-16.2398,-2.3403,1
14.3023,-16.3476,-2.3403,1
14.2023,-16.4509,-2.3403,1
14.1284,-16.5271,-2.3403,1
14.0240,-16.6348,-2.3403,1
13.9196,-16.7426,-2.3403,1
13.8153,-16.8503,-2.3403,1
13.7109,-16.9581,-2.3403,1
13.6065,-17.0658,-2.3403,1
13.5022,-17.1735,-2.3403,1
13.3978,-17.2813,-2.3403,1
13.2934,-17.3890,-2.3403,1
13.1891,-17.4967,-2.3403,1
13.0847,-17.6045,-2.3403,1
12.9803,-17.7122,-2.3403,1
12.8759,-17.8199,-2.3403,1
12.7716,-17.9277,-2.3403,1
12.6672,-18.0354,-2.3403,1
12.5628,-18.1432,-2.3403,1
12.4585,-18.2509,-2.3403,1
12.3541,-18.3586,-2.3403,1
12.2497,-18.4664,-2.3403,1
12.1454,-18.5741,-2.3403,1
12.0410,-18.6818,-2.3434,1
11.9351,-18.7788,-2.3872,1
11.8244,-18.8587,-2.4949,1
11.6905,-18.9229,-2.6336,1
11.5812,-18.9472,-2.7247,1
11.4673,-18.9727,-2.8160,1
11.3517,-18.9809,-2.8925,1
11.1947,-18.9812,-2.9645,1
11.0757,-18.9957,-2.9795,1
10.9765,-19.0094,-2.9776,1
10.8775,-19.0243,-2.9717,1
10.7295,-19.0487,-2.9649,1
10.5819,-19.0751,-2.9649,1
10.4342,-19.1015,-2.9649,1
10.2958,-19.1186,-2.9649,1
